Parâmetros de entrada para os ítens 14.5a e 14.5b,,,,,,,,,,,,,,,,,,,,Parâmetros de entrada para o item 14.5d,,,,,Parâmetros de entrada para o item 14.5e,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comprimento,Vel máxima,Probabilidade,Carros,,Comprimento,Vel máxima,Probabilidade,Carros,,Comprimento,Vel máxima,Probabilidade,Carros,,Número médio de passos em toda as simulações: 100,,,,,Comprimento,Probabilidade,Carros,Vel máxima,,Comprimento,Vel máxima,Carros,Probabilidade
50,2,0.1,1,,50,10,0.1,1,,50,25,0.1,1,,,,,,,100,0.5,10,1,,100,2,10,0.2
,,,2,,,,,2,,,,,2,,,,,,,,,,2,,,,,0.8
,,,5,,,,,5,,,,,5,,,,,,,,,,5,,,,20,0.2
,,,10,,,,,10,,,,,10,,,,,,,,,20,1,,,,,0.8
,,,20,,,,,20,,,,,20,,,,,,,,,,2,,,,10,0.2
,,,30,,,,,30,,,,,30,,,,,,,,,,5,,,,,0.8
,,,40,,,,,40,,,,,40,,,,,,,,0.1,10,1,,,,20,0.2
,,0.5,1,,,,0.5,1,,,,0.5,1,,,,,,,,,,2,,,,,0.8
,,,2,,,,,2,,,,,2,,,,,,,,,,5,,,5,10,0.2
,,,5,,,,,5,,,,,5,,,,,,,,,20,1,,,,,0.8
,,,10,,,,,10,,,,,10,,,,,,,,,,2,,,,20,0.2
,,,20,,,,,20,,,,,20,,,,,,,,,,5,,,,,0.8
,,,30,,,,,30,,,,,30,,,,,,,,,,,,,,10,0.2
,,,40,,,,,40,,,,,40,,,,,,,,,,,,,,,0.8
,,0.9,1,,,,0.9,1,,,,0.9,1,,,,,,,,,,,,,,20,0.2
,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,0.8
,,,5,,,,,5,,,,,5,,,,,,,,,,,,,,,
,,,10,,,,,10,,,,,10,,,,,,,,,,,,,,,
,,,20,,,,,20,,,,,20,,,,,,,,,,,,,,,
,,,30,,,,,30,,,,,30,,,,,,,,,,,,,,,
,,,40,,,,,40,,,,,40,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comprimento,Vel máxima,Probabilidade,Carros,,Comprimento,Vel máxima,Probabilidade,Carros,,Comprimento,Vel máxima,Probabilidade,Carros,,Comprimento,Vel máxima,Probabilidade,Carros,,,,,,,,,,
500,2,0.1,1,,500,10,0.1,1,,500,25,0.1,1,,500,175,0.1,1,,,,,,,,,,
,,,2,,,,,2,,,,,2,,,,,2,,,,,,,,,,
,,,5,,,,,5,,,,,5,,,,,5,,,,,,,,,,
,,,10,,,,,10,,,,,10,,,,,10,,,,,,,,,,
,,,20,,,,,20,,,,,20,,,,,20,,,,,,,,,,
,,,30,,,,,30,,,,,30,,,,,30,,,,,,,,,,
,,,40,,,,,40,,,,,40,,,,,40,,,,,,,,,,
,,,200,,,,,200,,,,,200,,,,,200,,,,,,,,,,
,,0.5,1,,,,0.5,1,,,,0.5,1,,,,0.5,1,,,,,,,,,,
,,,2,,,,,2,,,,,2,,,,,2,,,,,,,,,,
,,,5,,,,,5,,,,,5,,,,,5,,,,,,,,,,
,,,10,,,,,10,,,,,10,,,,,10,,,,,,,,,,
,,,20,,,,,20,,,,,20,,,,,20,,,,,,,,,,
,,,30,,,,,30,,,,,30,,,,,30,,,,,,,,,,
,,,40,,,,,40,,,,,40,,,,,40,,,,,,,,,,
,,,200,,,,,200,,,,,200,,,,,200,,,,,,,,,,
,,0.9,1,,,,0.9,1,,,,0.9,1,,,,0.9,1,,,,,,,,,,
,,,2,,,,,2,,,,,2,,,,,2,,,,,,,,,,
,,,5,,,,,5,,,,,5,,,,,5,,,,,,,,,,
,,,10,,,,,10,,,,,10,,,,,10,,,,,,,,,,
,,,20,,,,,20,,,,,20,,,,,20,,,,,,,,,,
,,,30,,,,,30,,,,,30,,,,,30,,,,,,,,,,
,,,40,,,,,40,,,,,40,,,,,40,,,,,,,,,,
,,,200,,,,,200,,,,,200,,,,,200,,,,,,,,,,
